id,username,text,sentimen,label
235,Achmad Charis,sampai kiamat tidak bakalan selesai urusan covid biar vaksin sudah ada sejatinya covid sekarang sudah ladang usaha bisnis pemerintah suka adanya covid,negatif,-1
236,Erni Erni,lockdown seluruh indonesia pasti turun corona,positif,1
237,Bang Djaja10,semua salah anis,negatif,-1
238,Kadek Budi,pemerintah harusnya buktikan jangan bicara,negatif,-1
239,Ida 190781,nyaris juta sekolah mengadakan praktik kerja lapangan sedangkan baru kena covid bagaimana sarannya,netral,0
240,Andika Yrki,berita palsu para tikus negara sebegitu banyaknya sakit tidak jelas,negatif,-1
241,Mohammad Andi Akbar,penanganan tidak berefek,negatif,-1
242,Rian Astrid,corona besar besarin bagaimana nanti anak sekolah mau jadi,negatif,-1
243,Jaka M sulaimain,semoga segera berakhir,netral,0
244,Harmi Febrita,sekarang usaha pemerintah angka ribu belum turun sudah kembali normal,negatif,-1
245,Kefin Kefin,cara mencegah corona cuci tangan bersih patuhi pemerintah jaga kebersihan jangan bersin sembarangan tingkatkan daya tahan tubuh stamina tubuh harus ditingkatkan pakai masker saat diperlukan misalnya saat jalan keluar rumah ketika diperlukan rumah meminimalisir penyebaran corona berdiskusi pemerintah misalnya bapak rt lurah menyiagakan pengamanan perketatan desa kota sakit cepat berobat berdoa,positif,1
246,CR Store,kurang serius pemerintah menangani wabah covid sombong angkuh nanti indonesia hampir lebih penduduknya terinfeksi covid baru bisa tersadar,negatif,-1
247,some one,mungkin sedikit koreksi istilah terpapar kepada siapa respon berbeda tergantung kondisi masing orang tua punya penyakit bawaan tertentu sedang lemah imunnya tentu lebih resiko sedang kuat muda bukan tidak bisa terpapar respon bisa lebih baik sembuh sendiri bisa jadi berbahaya buat orang jadi otg kuncinya tes tes tes selama belum ditemukan obat vaksin,netral,0
248,lenho sinaga,masyarakat paling benar,netral,0
249,KÃÂ¤lis Entertainment,semakin banyak pemeriksaan titik pemeriksaan covid semakin besar risiko penularan baik bagi tim medis orang diperiksa maupun orang berada sekitar saat sana pasti terjadi pergerakan interaksi orang berdekatan,negatif,-1
250,KÃÂ¤lis Entertainment,memperbanyak pemeriksaan swab maupun antigen bukan cara benar mencegah penyebaran covid,negatif,-1
251,KÃÂ¤lis Entertainment,penanganan covid efektif mempercepat kasus berakhir jadi tolong masyarakat sama patuhi anjuran pemerintah covid segera selesai,positif,1
252,hartono jay,pemerintah tidak bakal mampu atasi covid yakin kerjanya lambat tidak tegas sama aturan,negatif,-1
253,Keiko A.B,otg bagaimana,netral,0
254,Keiko A.B,tidak ada dpr mpr pejabat mulai bantu,negatif,-1
255,Trisnowati Ari,semoga virus corona cepat menghilang,netral,0
256,Sutrisno Flores,tidak masuk akal bahwa orang terjangkit virus corona tetap sehat tanpa gejala bisa menularkan virus tersebut,negatif,-1
257,Aminu7p7p77p0din Ahmad,contoh pembodohan publik terlihat sudah pemerintah membohongi selama,negatif,-1
258,Mochamad Tio Ardiyanto,udah tahu ada kelompok tanpa gejala tidak tes massal punya solusi tidak jelas percuma pemerintah keluarkan aturan hasilnya tidak ada,negatif,-1
259,Julius Rahanra,seharusnya semua komponen bangsa harus disiplin taat kebijakan petunjuk arahan jokowi presiden republik indonesia setiap situasi,positif,1
260,Sabdopandito Ratu,sebelum bicara cerna dulu malaikat merekam suara pak jangan hanya kebanyakan janji palsu,negatif,-1
261,John Lewis,lambat pemerintah harus tingkatkan biaya bagi atasi corona,negatif,-1
262,Sky Love,bicara enak pak gimana anggaran buat dpr mpr kurangi buat rakyat jangan saran aneh pak,negatif,-1
263,nice filsafat,alat pelindung diri terbatas tenaga medis terbatas tempat karantina terbatas mungkin anggaran tidak memadai pemerintah sepertinya tutup mata melihat kondisi indonesia saat,negatif,-1
264,nice filsafat,semoga para medis tetap sehat selamat melakukan tugasnya mulia,netral,0
265,Jack Sparrow,awal corona masuk sampai sekarang tidak bisa bersatu punya presiden pemerintah bego,negatif,-1
266,muhammad alif nugroho,doakan corona lenyap patuhi aturan pemerintah,positif,1
267,rizal channel,usir setuju demi kesehatan masyarakat indonesia kasihan tidak mudik,positif,1
268,Dolor Lawas,indonesia harus kirim bantuan medis india sana banyak warga negara indonesia kasihan,positif,1
269,Nira Zahida,tetap solusi pemerintah sudah terlambat korban meninggal sudah banyak,negatif,-1
270,Jame Ong,warga india izin masuk indonesia berarti mau mematikan semua orang indonesia,negatif,-1
271,akmal official,aduh simak semoga negeri aman,netral,0
272,Elina Freissy Falguni,sudah terlambat pak udah berkeliaran orang india indonesia,negatif,-1
273,Ã­ËÅÃ¬Å¡â,india bisa masuk indonesia mudik dilarang,negatif,-1
274,Bintara Arjuna,bukan saat menyalahkan pemerintah kejebolan ratusan orang lebih mengedepankan protokol kesehatan baik,positif,1
275,Sojou sojou,bego sudah masuk baru bilangnya berhenti turis asing,negatif,-1
276,Sagiri - Chan,negara lucu pemerintah lemah,negatif,-1
277,PUDI ARDILLAS,telat pak kerja benar tegas dasar pemerintahan lemah,negatif,-1
278,Diaz Eky,negara dagelanpemerintah membodohi rakyat miris,negatif,-1
279,MT,pemerintah tidak cepat tanggap tangkal virus luar,negatif,-1
280,MT,sudah telat harusnya lebih jeli urusan gini gini kerja sama kementerian perhubungan kementerian luar negeri kementerian kesehatan,negatif,-1
281,Felix Keyz,tutup total semua penerbangan lebih baik,positif,1
282,Wacucal Jawi,orang india datang indonesia boleh udah datang baru tutup gila siapa,negatif,-1
283,wisnu kurniawan,tolong jangan pulang kampung sayangi keluarga berdoa jauh semoga diberi kesehatan,positif,1
284,Didik Pati,selalu pemerintah indonesia terlambat menetapkan aturan,negatif,-1
285,wrey channel,kebiasaan indonesia warga negara asing sudah masuk baru berhenti tidak langsung deportasi india malah bawah hotel,negatif,-1
286,Jazonz Dileza,lockdown orang india pak sudah cukup penderitaan selama,positif,1
287,Yulianuto _,warga negara india udah masuk indonesia telat pak,negatif,-1
288,iyanks Lukman,ingin ketawa lepas lihat kinerja pemerintah super lambat,negatif,-1
289,Security Department,mantap pak dukung aturan pemerintah demi diri orang,positif,1
290,Agunk Ramadhan,terkadang bingung sendiri sekolah orang hanya libur hajatan banyak orang baru datang berkumpul bolehin kasihan bagi ekonominya benar dibawah sekali semenjak ada corona demi bisa belajar harus rela menjual padi hanya cukup buat makan demi beli ponsel,negatif,-1
291,some one,pemerintah indonesia ambil sikap penyelesaian wabah cara sendiri pendekatannya lebih ekonomi politik pendekatannya sama sekali bukan sains pemerintah tetap yakin penanganan wabah cukup jaga jarak melarang acara kerumunan pakai masker tanpa harus mengorbankan ekonomi tidak terpikir soal tes sebagai cara ampuh menemukan mengidentifikasi memilah orang populasi mana positif mana negatif negara sudah lebih dulu sadar bahwa tes segalanya penanganan wabah sebelum obat vaksin ditemukan,negatif,-1
292,some one,pemerintah indonesia terlalu bodoh ambil sikap penyelesaian wabah cara sendiri pendekatannya lebih ekonomi politik,negatif,-1
293,Aco Fay,percuma urus virus virus dulu berlalu sendirinya,negatif,-1
294,Lukito Sari,tidak ada satu positif disampaikan pemerintah menyemangati optimis harus syarat bukan ajakan bersemangat menanggulangi bersama,negatif,-1
295,John Shandy,sebenarnya pemerintah seharusnya keluarkan dana kebutuhan hari rakyat bukan cuma kasih solusi tidak jelas gini,negatif,-1
296,Pew Gaming,semua warga indonesia bersatu lawan covid cara mengikuti anjuran pemerintah wabah segera berakhir,positif,1
297,zayn muhd,pemerintah indonesia gagal total menangani kasus covid keluarkan aturan tidak jelas tidak tepat sasaran,negatif,-1
298,Wulan Ayu Sekar Arum,semoga ramadhan tanpa corona,netral,0
299,monica windiar,kayaknya psbb tidak ada gunanya,negatif,-1
300,Limitlessrabbit23,kebijakan selalu ada pro kontra negara kewalahan bukan sibuk ribut kebijakan turun kelapangan banyak rakyat butuh bantuan,negatif,-1
301,sam haji,pentingnya pengawasan melakukan audit investigasi sebagai bentuk antisipasi kebocoran keuangan negara,positif,1
302,David Waras,pengawasan sistem gimana dana tersebut bu tepat sasaran tidak ada penyelewengan oknum,positif,1
303,David Waras,selama pemerintah mengeluarkan dana bantuan sekian triliun masih banyak merasa tidak terbantu percuma aturan dibuat pemerintah kurang memperhatikan,negatif,-1
304,Sultan Abussalam Arif,sepertinya hutang,negatif,-1
305,Odha lolowuri,semoga amanah anggarannya,positif,1
306,beternak ayam broiler,mudah mudahan tidak ada korupsi dana bantuan covid indonesia kuat,positif,1
307,Funx Goaran14,anggaran triliun tasikmalaya tenaga kesehatan pakai jas hujan menanggulangi pasien kena virus corona malu sama negara,negatif,-1
308,Antastp Channel,kurang buk seharusnya proyek infrastruktur kementrian pekerjaan umum proyek apbn apbd dikurangi dana beri biaya penanggulangan virus corona sehingga daerah daerah rawan bisa lockdown hanya triliun rasa jauh kurang,negatif,-1
309,bunga lili,semoga dana tidak dikorupsi,positif,1
310,sihnanto rahtu,pemindahan ibukota lebih penting,netral,0
311,jamaludin bangun priyadi,semuanya tepat guna uang sebegitu cukup dukung negara lawan virus corona,positif,1
312,cing cangklung,semoga tidak ada mau korupsi dana,positif,1
313,Falen Yovi,luar biasa wabah corona seperti gini bisa korupsi miris,negatif,-1
314,Abang Modar krn Jihader,berhutang bu sama komunis berhutang jangan repot,negatif,-1
315,Sinta Irwanti,perang sama virus corona seluruh dunia optimis manusia pasti menang,netral,0
316,Mh M,sudah telat harusnya lockdown awal sekarang selamatkan diri masing masing,negatif,-1
317,Mobility Prime,nilai rupiahnya hancur uang sebegitu buat beli permen biar rakyat senang sudah tahu mata uang kelas bawah suruh tanding sama mata uang kelas atas,negatif,-1
318,Eleven,masker tidak ada jakarta,negatif,-1
319,Sovia Santoso,mantap rencana semoga pelaksanaan realnya berjalan baik mantap,positif,1
320,Akita Akbar,percuma pemerintah buat anggaran triliun akhirnya korupsi,negatif,-1
321,Snopy Gabbie,semoga semoga tidak kena korupsi,positif,1
322,Park Gum Bee,korea anggaran corona hampir triliun,netral,0
323,sandung lamur,negara sebesar masa anggaran penanganan krisisnya cuma triliun bu,negatif,-1
324,Nasruddin Anto,anggaran diprioritaskan mengenai pencegahan mengenai pola pola hidup sehat mungkin sampai desa desa kelak,positif,1
325,Indria Happy,pemerintah harus dibantu rakyatnya tidak panik salah satu cara menjaga stabilitas ekonomi negara,positif,1
326,imron bojonegoro,bisa ditebak bila corona meluas rentan kena petugas medis sendiri,netral,0
327,GIBRAN channel,tenang saudara menengah bawah semoga bisa lewati bersama,netral,0
328,Angga Teguh Hardani,tunggu ada tidak berita orang kaya raya indonesia menyumbang,netral,0
329,Susmiati Susmiati,terima kasih bu sri udah perhati rakyat semoga corona virus segera teratasi,netral,0
330,RicoSeptianVEVO,lockdown tolong,positif,1
331,Ummu Ilham,akhirnya ada anggaran penanganan covid,positif,1
332,Rahma Wicaksono,sedikit sekali anggaran pemerintah korea ratusan triliun,negatif,-1
333,Diaz Virdani,jangan dibuat artis disaat ada corona,netral,0
334,Muhammad Muklisin,tidak kembali normal pemerintahnya tidak tegas gini,negatif,-1
335,Mus Bikhin,perkembangan kasus korupsi dana covid tidak urus sudah biasa indonesia,negatif,-1
336,Rafa Wahyu Ardhana,cara pemerintah atasi covid kelihatan covid bisnis buat pemerintah sama rumah sakit,negatif,-1
337,Rafa Wahyu Ardhana,covid tidak jelas dibahas sedangkan penyakit tidak dibahas,negatif,-1
338,Sri Budiarti,harus patuhi protokol kesehatan peraturan pemerintah harus kasihan pemerintah sudah maksimal harus bantu semampu,positif,1
339,Putu Rangga,bulan juli masih covid tidak,netral,0
340,wildan nun mareta,lebih baik pesawat tujuan luar negeri nonaktifkan sementara biar tidak menyebar beri video cara menjaga lingkungan bumi jangan cuma cara menjaga protokol kesehatan,negatif,-1
341,Sukiran Lim,hanya berbagi mencegah menanggulangi covid percaya boleh tidak tidak kuncinya satu air hangat mandilah air sehangat mungkin pagi sore hari minimal sehari minum air hangat liter minum air sehangat mungkin sekali pertama sebanyak mungkin dilanjutin rutin sering mungkin hindari minuman dingin hingga mengeluarkan keringat hangat semoga bermanfaat,netral,0
342,adii prmn,bosan sekali covid,netral,0
343,Sunarto Sp,tidak setuju bicara pak banyak omong tindakan nihil,negatif,-1
344,tino123 tinocs,bukan dokter berlagak pintar berlagak tahu menyakit tidak kelihatan mudik dilarang warga negara asing cina bebas masuk indonesia rakyat kecil siksa virus tidak kelihatan negara aneh,negatif,-1
345,tino123 tinocs,sampai kiamat corona tidak bakalan hilang media beritalah membawa virus corona media berita kejam,negatif,-1
346,Raden Bagus,tidak peduli sekali bikin pandemi tahun,negatif,-1
347,setgold@gmail.com,masyarakat masih banyak tidak percaya wabah covid terutama umat islam tidak nahdlatul ulama muhammadiyah kelompok nyata nyata tidak mengindahkan seruan pemerintah,negatif,-1
348,Azhar Azhar,pak rakyat kecil tetap mematuhi,positif,1
349,Azhar Azhar,bagaimana pemerintah membuka pintu masuk tenaga kerja asing cina berdampak awal asal mula covid berarti murni salah pemerintah,negatif,-1
350,Zul kifli,lebih baik banyak berdoa minta pertolongan kepada tuhan corona segera berakhir,netral,0
351,stevano itong,menular virus lewat media,netral,0
352,riyan verbi,apasih pemerintah kerjanya tidak pernah jelas,negatif,-1
353,Tita Sutanti,terima kasih metro televisi atas infonya semoga ujian cepat hilang negara,netral,0
354,Versi Kang Kebon,patuhi prokontol kesehatan,positif,1
355,Pitrus Lioesman,berdoa berbuat sesuatu patuhi protokol kesehatan ikuti petunjuk pemerintah cobalah belajar,positif,1
356,Bhuana Bali,utama kejujuran jangan sampai masalah covid berlarut,positif,1
357,Awis Busman,hapus koruptor korupsi tidak pandang bulu,positif,1
358,LABKITA by Chies,semoga kasus pandemi turun tentunya dukungan kepatuhan masyarakat tentunya kebijakan pihak penguasa pemerintah,positif,1
359,Gusti Eka Putra,bacot pemerintah,negatif,-1
360,TV Family Sadar ALLAH,lembutkan hati semoga doa doa para sahabat hadir sini semoga jabah sama buka pintu rezeki deras sederas air hujan turun semoga permudahkan segala urusan jauh penyakit sehat semoga mengampuni dosa semua baik sengaja tidak sengaja rakyat semoga sehat lancar rezeki selalu lindungan salam santun hormat selalu,netral,0
361,Paridaa Nurhasanah,bingung pemerintah indonesia sepertinya tidak ada distribusinya buat bantu masyarakat indonesia,negatif,-1
362,Presiden Thanos,warga negara asing datang indonesia harusnya berhenti dulu bukan dibiarkan masuk gini,negatif,-1
363,ekichandra,sebenarnya pemerintah tes tidak cuma menunggu sampai orang tersebut sakit lalu dinyatakan covid,negatif,-1
364,Riana Tobing,pergi pasar lihat masih banyak warga tidak pakai masker sedih lihatnya nanti sakit disalahkan malah pemerintahnya,positif,1
365,Paoji Gin,strategi pemerintah sudah bagus rakyatnya kurang patuh,positif,1
366,nan non,jangan khawatir tidak mampu akhirnya indonesia terpaksa berdamai covid sama seperti indonesia berdamai tuberculosis tbc malaria demam berdarah flu burung swineflu virus middle east respiratory syndrom stunting,netral,0
367,Channel Tema26,semoga masalah corona cepat terselesaikan,netral,0
368,Ade Ruyat,bantuan covid tidak adil tidak merata seharusnya bantuan covid pilih kasih seperti hukum negara semua kena dampak pemerintah tidak ratakan,negatif,-1
369,Salon Reni salon,numpang tanya ada pengurangan bantuan dana pemerintah masyarakat menerima bantuan tidak merata,netral,0
370,Jen Juri Jimi,tidak pernah dapat sampai sekarang bantuan,negatif,-1
371,Jen Juri Jimi,salah bukan presiden bawah tidak benar kaya koruptor hukum mati kaya negara damai,netral,0
372,Mardiana Barru,luar biasa banyak bantuan sampai hari belum dapat sepeser dapat,negatif,-1
373,karto lewo,hilangkan bantuan bantuan kasihan miskin tidak dapat seperti masih bisa bekerja kasih rezeki nanti kasih bantuan jadi malas berusaha,negatif,-1
374,Anna Freddy,sekarang sekeluarga positif corona tidak dapat bantuan langsung pemerintah,negatif,-1
375,Jun Manik,judul harusnya tambah bantuan pemerintah kepala desa aparat desanya baru betul,negatif,-1
376,hendrayati 06,pernah ajukan bantuan umkm sampai sekarang tidak ada,negatif,-1
377,hendrayati 06,selama covid tidak pernah dapat bantuan apapun suami kerja buruh serabutan sementara hanya bekerja sebagai honor daerah gaji hanya juta lebih,negatif,-1
378,Sri Ujiyanti,pemerintah sudah tersalurkan dana triliun kaya miskin dapat jangan salahkan jokowi,positif,1
379,Fariz Saputra,tidak percaya sama pemerintah keluarga sendiri terkena covid meninggal disuruh isolasi tidak diberi bantuan sama sekali,negatif,-1
380,Fariz Saputra,sekarang aturan berubah tidak jelas tanpa adanya memikirkan warga masyarakat keluarganya meninggal covid,negatif,-1
381,Dina nisrina,bantuan bantuan tidak pernah dapat bantuan,negatif,-1
382,Ely Kk,bantuan tidak merata masa benar membutuhkan malah tidak dapat bantuan udah kecukupan bantuan malah dapat gimana nasib tidak pernah dapat bantuan tolong pemerintah pikirkan,negatif,-1
383,RAKYAT KECIL opicall,tidak pernah dapat berita bohong tidak tepat sasaran,negatif,-1
384,Teguh Ari Bowo Ari Bowo,bantuan pemerintah terima kasih,positif,1
385,Teguh Ari Bowo Ari Bowo,sebagai rakyat banyak tidak menerima bantuan tolong dibenahi wilayah,negatif,-1
386,Nganti undi Purnomo,tidak tahu ada bantuan pak presiden pemerintah daerah sepertinya menutupi korupsi,negatif,-1
387,Febri Novan,bantuan pemerintah salah gunakan menerima bukan orang miskin mampu miskin cuma pakai nama bantuan jatuh tangan orang mampu orang miskin cuma jadi korban bohongan orang,negatif,-1
388,AA Agrospace,usulan beri bantuan lebih baik bentuk tunai rawan penyelewengan manipulasi,positif,1
389,Febri Yanti,jadi belum dapat bantuan bisa mengajukan desa setempat rt rw setempat,netral,0
390,Luluk Halimah,masa orang mampu dapat bantuan orang miskin malah tidak dapat bagaimana tanggapan pemerintah,negatif,-1
391,Aulia Ayu putri,tidak satupun mendapatkan bantuan pemerintah membutuhkannya bayi perempuan berumur bulan menyusu susu formula kotak isi gram harga ribu habis seminggu kadang tidak sampai dikali bulan mencarikan duitnya malahan orang berduit dapat membutuhkan tidak negara tidak adil,negatif,-1
392,Dea ayu,bantuan selama umbar umbar media pemerintah tidak sampai rakyat betul betul membutuhkan,negatif,-1
393,Sultan Sukamajuselatan,pak seorang janda miskin sakit sakitan belum pernah mendapatkan bantuan apapun sampai sekarang terima kasih,negatif,-1
394,nathanie nata,aduh bu bu punya anak kecil tidak dapat bantuan apapun,negatif,-1
395,Normal People,indonesia ada pemimpin tepat jadi pemerintah boleh jadi negara terkaya asean sumber bumi orang banyakâ¦,negatif,-1
396,Normal People,sudah terlalu banyak korupsi jadi mangsa rakyat sendiri,negatif,-1
397,Abd ghofur Ghofur,mana ada bantuan tidak pernah sampai kartu keluarga,negatif,-1
398,Erwin Gutawa,bantuan tidak sampai masyarakat kecil,negatif,-1
399,ded game,tolong cek dulu duitnya lari kemana tidak terima,negatif,-1
400,ded game,kemana uang tidak dapat bohong semua,negatif,-1
401,putri lim,dana desa mau perhatikan benar,netral,0
402,Maman Chiloenk,pemerintah pusat tolong bisa turun meninjau lokasi langsung banyak oknum rawan korupsi,positif,1
403,Maman Chiloenk,semenjak covid usaha bangkrut tidak dapat bantuan,negatif,-1
404,delfi Gustiani,bapak presiden sudah mengeluarkan dana bantuan besar semoga digunakan sebaik mungkin,positif,1
405,delfi Gustiani,dana bantuan belum mengalir keluarga kerja sebagai buruh hidup diperantaun masa pandemi covid mungkin semua orang mengalami kesulitan buat berdagang susah sebenarnya dana bantuan sangkut,negatif,-1
406,Bu Adi,bantuan buat orang pintar coba pikir kartu prakerja dapat orang punya ponsel rata banyak bantuan tidak tepat sasaran jadi orang bisa dapat semua bantuan benar merata menurut orang desa bodoh lebih baik semua bahan pokok subsidi biar adil masuk tidak punya wacana lebih baik isinya cuma hamburkan uang rakyat,negatif,-1
407,Butiran Channel,masih banyak dana bantuan corona belum tepat sasaran masih salah sasaran ada belum mendapatkan sama sekali warga jakarta sendiri ada beberapa kalangan para perantau ada jakarta jakarta diantara masih turut sama koloni tetap bertahan jakarta,negatif,-1
408,Aa Sopandi,kepada pemerintah pusat mohon pak awasi seperti program keluarga harapan desa desa terima kasih semoga negara maju makmur kuat sejahtera,positif,1
409,grandong roban,bantuan omong kosong isolasi tidak kasih,negatif,-1
410,Siti Hana,pemerintah bohong cuma koar koar youtube kecewa sama pak jokowi,negatif,-1
411,Febri Ragiel,pak sudah pengangguran pemutusan hubungan kerja perusahan swasta sampai sekarang tidak ada bantuan kepada orang pengangguran covid keluar tanggal februari sampai tanggal agustus sekarang susah cari kerja covid selama sekali tidak ada bantuan turun sama sana sini cari makan susah lihat anak istri tidak pernah pegang uang,negatif,-1
412,Rian Rinaldi,kemana dana bantuan tersebut sudah pasti korupsi,negatif,-1
413,Rasti Viland,minta tolong desa tidak merata pembagiannya desa wonorjo banyuputih situbondo tolong tindak lanjut,negatif,-1
414,GOD Rosetta,digital dompet tidak gratis,netral,0
415,Ade Komara,pembodohan,negatif,-1
416,Bule Lena,semoga bantuan tepat sasaran masyarakat benar benar membutuhkan bantuan,positif,1
417,imron watnum,sampainya bantuan tangan masyarakat kenyataannya tidak senilai disebutkan masyarakat selalu tipu pemerintah,negatif,-1
418,Jiman Kodara,jangankan kebagian bantuan bentuk bantuan apapun tidak pernah dapat,negatif,-1
419,Iyons nikolas Sesto,tidak menyalahkan pemerintah minta telusuri kecamatan desa biar ada keadilan,positif,1
420,Iyons nikolas Sesto,mana ada kenaikan dapat program keluarga harapan program keluarga harapan tidak ada namanya bantuan covid kenaikan,negatif,-1
421,Rany Haerunisa,tim lapangan seharusnya diawasi ketat biar tetap sasaran diatasnya sudah sesuai aturan jangan sampai dilapangan ada permainan,positif,1
422,Riri Azahri Riri,tidak pos mengambil uang semua lurah belum keluar dapat cuma keluarga lurah,negatif,-1
423,Bertha Ponde,bantuan pilih pilih benar butuh tidak dapat kasihan cuma mendengar melihat bantuan ada tidak sampai tangan kecewa mana para pendata penduduk tidak melihat masyarakat kecil,negatif,-1
424,GINUK PARODY CHANNEL,cuma tipuan pemerintah,negatif,-1
425,ka teno,berharap pemerintah turun tangan tahu sebenarnya bagaimana kepada siapa bantuan terima,negatif,-1
426,ka teno,tahu suara tidak sampai hadapan pemerintah berharap ada pihak terkait mau menolong pemerintah tahu semua bagaimana teriris sembilu mendengar rintihan fakir miskin tidak mendapat bantuan covid tidak mengatakan kepala desa tidak adil itulah terjadi,negatif,-1
427,berkebun Kingazis,tidak dapat tidak ada pendataan kerja hanya ojek,negatif,-1
428,Robi darwis,misalkan tidak kebagian semua mendingan jangan bagi kasihan tidak dapat bantuan jadi separuh separuh harus diam,negatif,-1
429,Vivo Y15,mohon sama pemerintah tingkat kabupaten tolong tinjau didesa desa masalah bantuan kaya dapat miskin lewat aneh,negatif,-1
430,Arid Hidayat,kasih orang kaya aneh menurut kasih dulu orang jompo malah orang kaya kasih pertama jadilah percekcokan adanya uang bantuan malah jadi perkara,negatif,-1
431,Sultan Syarif,bantuan covid tidak adil keluarga tidak kebagian,negatif,-1
432,Zhoel_15 channel,jangankan dapat bantuan mudik dilarang nasib anak rantau bukanya untung malah buntung perantauan tidak ada urus,negatif,-1
433,Zhoel_15 channel,hanya janji palsu pemerintah bohong,negatif,-1
434,Zhoel_15 channel,semua berita covid bohong,negatif,-1
435,Zhoel_15 channel,mau bantu jangan pilih harus sama rata,negatif,-1
436,Nur Cholifah,dulu bantuan tidak ada sampai malah orang kaya daerah dapat,negatif,-1
437,Nur Cholifah,tolong pemerintah survei benar biar bantuan sampai orang tepat,positif,1
438,aating 243,masih banyak bantuan korupsi pemerintah pasti tahu masalah ternyata hanya tutup mata,negatif,-1
439,Selia angel fransiska,tidak mampu tidak pernah dapat bantuan,negatif,-1
440,Ari Bowo,mana bantuan datang ibu hamil ibu menyusui gara corona tidak kerja biasa ikut buruh proyek istri baru melahirkan mana pemerintah tidak adil tidak tegas,negatif,-1
441,TilikInfo Chanel,bantuan percuma hanya orang orang tertentu dapat,negatif,-1
442,nur charlos,sekarang tempat bawahan kepala desa beli motor baru hasil korupsi bantuan pemerintah,negatif,-1
443,rieno rieen,harus edar uang program keluarga harapan kepada orang bawahan sedang boleh meneruskan melalui bank baru tidak ada korupsi,netral,0
444,PUBGM PUBGM,keluarga tidak kerja perangkat desa jangan mimpi dapat bantuan kenyataan desa kurang bukti siap panggil biar jelas rakyat kecil lebih paham siapa dapat,negatif,-1
445,PUBGM PUBGM,rata desa dapat bantuan keluarga perangkat desa keluarga pak rt,negatif,-1
446,Aditya Vicky,tolong tindak lanjuti pak masih banyak dana korupsi sama pemerintah daerah,positif,1
447,Aditya Vicky,bantuan tidak mengikuti kartu keluarga desa,negatif,-1
448,Aff Stiawan,tidak peduli sekali tidak peduli sama aturan pemerintah,negatif,-1
449,PORBI Gunung Karang,tidak ada bantuan cuma dengar kabar tidak ada mana bantuan tidak ada punya setoran bank setoran harus bayar kerjaan tutup,negatif,-1
450,PORBI Gunung Karang,tidak ada banyak pengangguran kerena lockdown pengangguran kerja tutup konfeksi semua tutup mana ada bantuan tidak ada,negatif,-1
451,Ayu Pertiwi,pak presiden didesa desa indra yaman disini diberi sembako hanya sekali diambil balai desa tidak memakai kartu hanya diberi katanya bantuan dana covid disuruh disalurkan sebagian masyarakat bukan uang ribu bagaimana pak presiden,negatif,-1
452,Rahayu ayu,setuju koruptor dihukum mati biar tidak kebanyakan koruptor,positif,1
453,Rahayu ayu,seorang janda tidak pernah dapat bantuan apapun pemerintah hartanya banyak punya segalanya bisa dapat bantuan mana adil koruptor biar jelas,negatif,-1
454,Riki tr,ada berdiri tegak bukan keadilan,negatif,-1
455,Ack Putri,bantuan tidak sampai tidak merata pilih orang mending bangun masjid uang ditimbang jatuh tangan koruptor,negatif,-1
456,Rajiman Bos,pedagang kaki lima belum menerima bantuan,negatif,-1
457,suhendrik hendri,tolong tegas pemerintah aceh tengah bantuan covid masyarakat tidak dapat dapat,negatif,-1
458,Om Kisoet,suara kampung pemerintah daerah hanya menerima menyalurkan dana kepada masyarakat tidak jelas sasarannya kemana siapa pemerintah pusat pemda tidak pernah tahu seperti masyarakat miskin kampung kampung korban salah sasaran,negatif,-1
459,Bambang Ahmad,tidak perlu ada bantuan bikin sakit hati percuma biar corona merajalela,negatif,-1
460,yornz war,minta info cara melaporkan penyalahgunaan bantuan covid,positif,1
461,Rina Amrina,tidak adil warung kecil disini tidak dapat secara sekitar warga dapat warungnya jadi sepi omzet menurun kasihan punya warung mengandalkan uang warga sekitar bagaimana bantuan tidak semua warga dapat,negatif,-1
462,Gratia Atanka,korupsi semakin merajalela,negatif,-1
463,Aries Tv,rt rw bagikan bantuan sosial keluarga peraturan sama mati rakyat pelan pelan,negatif,-1
464,Sumatra Sumatra Selatan,mana bantuan daerah tidak tepat sasaran,negatif,-1
465,Didik 16,desa dukuh mojo kecamatan celuwak kabupaten pati jawa tengah rt dapat hanya orang sebagai warga miskin belum dapat apapun kasihan janda tua belum dapat,negatif,-1
466,Kenji Dikara,listrik watt dinaikkan kerjaan pemutusan hubungan kerja bisa mati kelaparan masyarakat terutama miskin,negatif,-1
467,Kuli bae,dulu belum pernah dapat bantuan langsung tunai program keluarga harapan bantuan covid pemerintah setempat jenis bantuan tidak pernah rasakan sampai sekarang,negatif,-1
468,Moza Reza,mau mengadu desa paling sedikit dapat program keluarga harapan bandung desa bantuan sosial selalu salah sasaran,negatif,-1
469,Just Ainz,mitos namanya bantuan,negatif,-1
470,Muhamad Ramadani,rt rw cimahi goblok semua,negatif,-1
471,Muhamad Ramadani,daerah bandung barat dapat malah orang orang kaya contohnya seperti pegawai serabutan tidak pernah mendapatkan bantuan namanya beras beras miskin tolong kaji wilayah cimahi sangkuriang dapat malah orang orang kaya,negatif,-1
